slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
safari-extreme,Safari Extreme,https://www.etirsah.com/storage/photos/shares/etirler_en_son/safari_extreme.jpg,,Kişi,26.00,46.00,72.00,Abdul Samad Al Qurashı,"berqamot, kəklikotu, maqnoliya, moruq, naringi-mandarin, yasəmən, zəfəran, inciçiçəyi, linden-çiçəyi","bolqar-qızılgülü, bənövşə, hind-qozu, ilanq-ilanq, jasmin, şaftalı, tuberoza, qərənfil, olibanum","ağac-notları, dəri, mixək, müşk, süsən, səndəl, vanil, ənbər, zamş",https://www.etirsah.com/az/product/43,Stokda Var
black-amber,Black Amber,https://www.etirsah.com/storage/photos/shares/etirler_yeni/007-04-07-23.jpg,,Unisex,32.00,58.00,92.00,Agonist,"dəniz-yosunu, labdanum, büxur-ladan, davana","sidr, tütün-çiçəyi, naqarmota-girdə-topalaq, büxur-ladan, vetiver-yağı","paçuli, səndəl, boz-ənbər, stiraks, madaqaskar-vanili",https://www.etirsah.com/az/product/44,Stokda Var
dark-saphir,Dark Saphir,https://www.etirsah.com/storage/photos/shares/etirler_en_son/dark_saphir.jpg,,Unisex,38.00,70.00,112.00,Agonist,"berqamot, bənövşə-yarpağı, moruq, qara-istiot, şaftalı, zirə, zəncəfil, ədviyyatlı-notlar, keşniş-toxumu","darçın, jasmin, orxideya, qızılgül, süsən, ətirşah, geliotrop, qərənfil, yerkökü-toxumları","labdanum, paçuli, tonka-lobyası, vanil, aqar-ağacı-ud, qvayak-ağacı, olibanum",https://www.etirsah.com/az/product/45,Stokda Var
onyx-pearl,Onyx Pearl,https://www.etirsah.com/storage/photos/shares/etirler_en_son/onyx_pearl.jpg,,Unisex,,,,Agonist,"aqar-ağacı-ud, çiçək-notları, zamş","paçuli, ənbər, geliotrop","ağ-müşk, səndəl, virciniya-sidri",https://www.etirsah.com/az/product/46,Stokda Yoxdur
amber-musc,Amber Musc,https://www.etirsah.com/storage/photos/shares/etirler_en_son/amber_musg.jpg,,Unisex,32.00,58.00,92.00,Ajmal,qızılgül,müşk,"ağ-sidr, ənbər",https://www.etirsah.com/az/product/47,Stokda Var
ambre-pimente,Ambre Pimente,https://www.etirsah.com/storage/photos/shares/etirler_yeni/Ambre%20Pimente.jpg,,Unisex,,,,Ajmal,ədviyyatlar,"ənbər, quayak-ağacı","müşk, sidr",https://www.etirsah.com/az/product/48,Stokda Yoxdur
aristocrat,Aristocrat,https://www.etirsah.com/storage/photos/shares/etirler_yeni/Aristocrat11.jpg,,Kişi,38.00,70.00,112.00,Ajmal,"berqamot, laym, qarpız","jasmin, müşk, zanbaq","müşk, paçuli, sidr, ənbər, aqar-ağacı-ud",https://www.etirsah.com/az/product/49,Stokda Var
aurum,Aurum,https://www.etirsah.com/storage/photos/shares/etirler_en_son/aurum_ajmal.jpg,,Qadın,26.00,46.00,72.00,Ajmal,"limon, moruq","jasmin, meyvə-notları, portağal-çiçəyi, qardeniya, ədviyyatlar","ağac-notları, müşk, pudra-notları, vanil, ənbər",https://www.etirsah.com/az/product/50,Stokda Var
cuir-musc,Cuir Musc,https://www.etirsah.com/storage/photos/shares/etirler_en_son/cuir_musg.jpg,,Unisex,56.00,106.00,172.00,Ajmal,qarpız,moruq,"dəri, müşk, palıd-mamırı, tütün",https://www.etirsah.com/az/product/51,Stokda Var
qafiya-1,Qafiya 1,https://www.etirsah.com/storage/photos/shares/etirler_en_son/qafiya1_ajmal.jpg,,Unisex,26.00,46.00,72.00,Ajmal,"portağal-çiçəyi, qızılgül, zəfəran","ağac-notları, ənbər","ağac-notları, müşk, paçuli",https://www.etirsah.com/az/product/52,Stokda Var
qafiya-2,Qafiya 2,https://www.etirsah.com/storage/photos/shares/etirler_en_son/qafiya2_ajmal.jpg,,Unisex,26.00,46.00,72.00,Ajmal,"berqamot, qəhvə","portağal-çiçəyi, ədviyyatlar","səndəl, mamır",https://www.etirsah.com/az/product/53,Stokda Var
santal-wood,Santal Wood,https://www.etirsah.com/storage/photos/shares/etirler_en_son/santal_vood.jpg,,Unisex,50.00,94.00,152.00,Ajmal,"hil, zirə, kalendula","jasmin, qızılgül, sidr, zəncəfil","paçuli, səndəl, aqar-ağacı-ud",https://www.etirsah.com/az/product/54,Stokda Var
shadow,Shadow,https://www.etirsah.com/storage/photos/shares/etirler_en_son/shadov.jpg,,Qadın,20.00,34.00,52.00,Ajmal,"lavanda, nektarin, palisandr-çəhrayı-ağac","orxideya, paçuli","müşk, boz-ənbər",https://www.etirsah.com/az/product/55,Stokda Var
violet-musc,Violet Musc,https://www.etirsah.com/storage/photos/shares/etirler_en_son/violet-musg.jpg,,Unisex,38.00,70.00,112.00,Ajmal,"ilanq-ilanq, inciçiçəyi","müşk, qızılgül","bənövşə, ənbər",https://www.etirsah.com/az/product/56,Stokda Var
mukhallat-al-khaleej,Mukhallat Al Khaleej,https://www.etirsah.com/storage/photos/shares/etirler_en_son/AL-HARAMAIN---AL-KHALEEJ-MUKHALLAT-FOR-UNISEX.jpg,,Unisex,,,,Al Haramain,şərq-notları,"müşk, palıd-mamırı","ilanq-ilanq, ədviyyatlar",https://www.etirsah.com/az/product/57,Stokda Yoxdur
black-afgano,Black Afgano,https://www.etirsah.com/storage/photos/shares/AL-HARAMAIN---BLACK-AFGANO-FOR-UNISEX.jpg,,Unisex,,,,Al Haramain,"yaşıl-notlar, torpaq","qəhvə, tütün","aqar-ağacı-ud, büxur-ladan",https://www.etirsah.com/az/product/58,Stokda Yoxdur
escada-collection,Escada Collection,https://www.etirsah.com/storage/photos/shares/etirler_yeni/ESCADA---COLLECTION-FOR-WOMEN.jpg,,Qadın,14.00,22.00,32.00,Escada,"karamel, gavalı","ağ-çiçəklər, jasmin, portağal-çiçəyi, qızılgül","müşk, sidr, səndəl, tonka-lobyası",https://www.etirsah.com/az/product/59,Stokda Var
mukhallath-al-emirates,Mukhallath Al Emirates,https://www.etirsah.com/storage/photos/shares/AL-HARAMAIN---MUKHALLAT-AL-EMIRATES-FOR-UNISEX.jpg,,Unisex,26.00,46.00,72.00,Al Haramain,"berqamot, qızılgül, ətirşah, davana","jasmin, mixək, orxideya, qızılgül, sidr, səndəl, zəfəran","meyvə-notları, müşk, sidr, çiçək-notları, kaşmeran",https://www.etirsah.com/az/product/60,Stokda Var
mukhallat-al-jahrah,Mukhallat Al Jahrah,https://www.etirsah.com/storage/photos/shares/AL-HARAMAIN---MUKHALLAT-AL-JAHRAN.jpg,,Kişi,14.00,22.00,32.00,Al Haramain,ənbər,müşk,yasəmən,https://www.etirsah.com/az/product/61,Stokda Var
red-jafran,Red Jafran,https://www.etirsah.com/storage/photos/shares/AL-HARAMAIN---RED-JAFRAN.jpg,,Kişi,14.00,22.00,32.00,Al Haramain,zəfəran,,,https://www.etirsah.com/az/product/62,Stokda Var
sultan,Sultan,https://www.etirsah.com/storage/photos/shares/etirler_en_son/sultan-1.jpg,,Unisex,14.00,22.00,32.00,Al Haramain,"ananas, şaftalı, çiçək-notları, çiyələk","darçın, jasmin, lavanda, moruq, qızılgül","ilanq-ilanq, müşk, paçuli, səndəl, vanil, ənbər",https://www.etirsah.com/az/product/63,Stokda Var
white-musk,White musk,https://www.etirsah.com/storage/photos/shares/AL-HARAMAIN---WHITE-MUSK.jpg,,Unisex,,,,Al Haramain,"ağ-çiçəklər, limon, nanə","hind-qozu, jasmin, zəncəfil, inciçiçəyi","müşk, paçuli, qızılgül, sidr, səndəl-ağacı",https://www.etirsah.com/az/product/64,Stokda Yoxdur
alaa,Alaïa,https://www.etirsah.com/storage/photos/shares/etirler_en_son/alaia_paris.jpg,,Qadın,,,,Alaia Paris,"çəhrayı-istiot, dağ-havası","freziya, pion, qızılgül","ağ-müşk, bənövşə, dəri",https://www.etirsah.com/az/product/65,Stokda Yoxdur
golden-oud,Golden Oud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Golden_Oud.jpg,,Unisex,26.00,46.00,72.00,Alexandre.J,günəş-notları,"bənövşə, paçuli, səndəl, vetivera, ağ-ağac","müşk, palıd-mamırı, aqar-ağacı-ud",https://www.etirsah.com/az/product/66,Stokda Var
mandarine-sultane,Mandarine Sultane,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Mandarine_Sultane.jpg,,Unisex,14.00,22.00,32.00,Alexandre.J,"berqamot, limon, naringi-mandarin","badam, jasmin, neroli, portağal-çiçəyi, şaftalı","müşk, rom, səndəl, zəfəran, ənbər, kaşmir-ağacı",https://www.etirsah.com/az/product/67,Stokda Var
black-muscs,Black Muscs,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Black_Muscs.jpg,,Unisex,26.00,46.00,72.00,Alexandre.J,"berqamot, limon","bənövşə, paçuli, qızılgül","müşk, ənbər",https://www.etirsah.com/az/product/68,Stokda Var
morning-muscs,Morning Muscs,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Morning_Muscs.jpg,,Unisex,26.00,46.00,72.00,Alexandre.J,"naringi-mandarin, qreyfrut, şaftalı, toffi-iris-konfeti","bənövşə, paçuli, qızılgül, damask-qızılgülü","müşk, palıd-mamırı",https://www.etirsah.com/az/product/69,Stokda Var
lavender-extreme,Lavender Extreme,https://www.etirsah.com/storage/photos/shares/etirler_en_son/tom_ford_levender.jpg,,Unisex,32.00,58.00,92.00,Tom Ford,"bənövşə, limon","darçın, lavanda, qızılgül, ətirşah","kumarin, tonka-lobyası",https://www.etirsah.com/az/product/70,Stokda Var
brown-incense,Brown Incense,https://www.etirsah.com/storage/photos/shares/etirler_yeni/014-04-07-23.jpg,,Unisex,26.00,46.00,72.00,Abdul Samad Al Qurashı,"sidr, kərə-yağı","süsən, ənbər","portağal-çiçəyi, yasəmən",https://www.etirsah.com/az/product/75,Stokda Var
khashab-al-oud,Khashab Al Oud,https://www.etirsah.com/storage/photos/shares/etirler_yeni/Abdul-Samad-Al-Qurashi-Khashab-Al-oud.png,,Unisex,26.00,46.00,72.00,Abdul Samad Al Qurashı,"müşk, aromatik-notlar","dəri, səndəl","paçuli, ənbər, aqar-ağacı-ud",https://www.etirsah.com/az/product/76,Stokda Var
amber-wood,Amber Wood,https://www.etirsah.com/storage/photos/shares/etirler_en_son/amber_vood.jpg,,Unisex,38.00,70.00,112.00,Ajmal,"alma, hil, lavanda, ağ-istiot","sidr, süsən-kökü","ağac-notları, paçuli, ənbər",https://www.etirsah.com/az/product/77,Stokda Var
silver-ombre,Silver Ombre,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Silver%20-Ombre.jpg,,Unisex,26.00,46.00,72.00,Alexandre.J,"armud, limon","mixək, qızılgül, səndəl, olibanum","müşk, ənbər",https://www.etirsah.com/az/product/78,Stokda Var
dakar,Dakar,https://www.etirsah.com/storage/photos/shares/etirler_en_son/dakar.jpg,,Kişi,14.00,22.00,32.00,Al Rehab,"darçın, hind-qozu, jasmin, müşk-sürvəsi-adaçayı","berqamot, suzanbağı, ənbər, aqar-ağacı-ud","ağ-sidr, palıd-mamırı, səndəl",https://www.etirsah.com/az/product/79,Stokda Var
khaliji,Khaliji,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Khaliji.jpg,,Unisex,14.00,22.00,32.00,Al Rehab,"sitrus, ədviyyatlı-notlar, lemonqras","müşk, portağal","səndəl, ənbər, çiçək-notları",https://www.etirsah.com/az/product/80,Stokda Var
dalal,Dalal,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Dalal-Al-Rehab.jpg,,Unisex,14.00,22.00,32.00,Al Rehab,"karamel, vanil",portağal,səndəl,https://www.etirsah.com/az/product/81,Stokda Var
lovely,Lovely,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Lovely.jpg,,Unisex,14.00,22.00,32.00,Al Rehab,sitrus,çiçək-notları,ağ-müşk,https://www.etirsah.com/az/product/82,Stokda Var
mokhalat,Mokhalat,https://www.etirsah.com/storage/photos/shares/etirler_yeni/Mokhalat-Al-Rehab.jpg,,Unisex,14.00,22.00,32.00,Al Rehab,aqar-ağacı-ud,çiçək-notları,ənbər,https://www.etirsah.com/az/product/83,Stokda Var
nebras,Nebras,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Nebras-Al-Rehab.jpg,,Unisex,14.00,22.00,32.00,Al Rehab,sitrus,limon,çiçək-notları,https://www.etirsah.com/az/product/84,Stokda Var
secret-man,Secret Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Secret-Man-Al-Rehab.jpg,,Kişi,14.00,22.00,32.00,Al Rehab,"yaşıl-notlar, ədviyyatlar","qızılgül, sitrus","ağac-notları, səndəl",https://www.etirsah.com/az/product/85,Stokda Var
opulent-shaik-classic-no-33,Opulent Shaik Classic No 33,https://www.etirsah.com/storage/photos/shares/etirler_en_son/SHAIK-SHAIK-OPULENT-SHAIK-NO%20%281%29.jpg,,Qadın,,,,Shaik,"berqamot, keşniş, tütəkotu","pion, qızılgül, süsən, geliotrop","müşk, səndəl, tonka-lobyası, vanil",https://www.etirsah.com/az/product/86,Stokda Yoxdur
sultan,Sultan,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Sultan-Al-Rehab.jpg,,Unisex,14.00,22.00,32.00,Al Rehab,"berqamot, darçın","hil, vanil, ardıc","müşk, sidr, səndəl",https://www.etirsah.com/az/product/87,Stokda Var
beloved-man,Beloved Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Beloved-Man-Amouage.jpg,,Kişi,26.00,46.00,72.00,Amouage,"hil, istiot, portağal, qreyfrut, elemi","jasmin, süsən-kökü, zəfəran, ətirşah","dəri, müşk, paçuli, sidr, vetivera, qvayak-ağacı",https://www.etirsah.com/az/product/88,Stokda Var
beloved-man,Beloved Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Beloved-Man-Amouage.jpg,,Kişi,26.00,46.00,72.00,Amouage,"hil, istiot, portağal, qreyfrut, elemi","jasmin, süsən-kökü, zəfəran, ətirşah","dəri, müşk, paçuli, sidr, vetivera, qvayak-ağacı",https://www.etirsah.com/az/product/89,Stokda Var
blossom-love,Blossom Love,https://www.etirsah.com/storage/photos/shares/etirler_en_son/BLOSSOM-LOVE.jpg,,Qadın,26.00,46.00,72.00,Amouage,"berqamot, geliotrop","albalı-çiçəyi, ilanq-ilanq, qızılgül, amaretto","tonka-lobyası, vanil, ənbər, zamş",https://www.etirsah.com/az/product/90,Stokda Var
dia-woman,Dia Woman,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Dia-Woman-Amouage.jpg,,Qadın,32.00,58.00,92.00,Amouage,"aldehidlər, berqamot, bənövşə-yarpağı, müşk-sürvəsi-adaçayı, tərxun, əncir, siklamen","pion, portağal-çiçəyi, şaftalı-çiçəyi, süsən-kökü, türk-qızılgülü","ağ-müşk, sidr, səndəl, vanil, geliotrop, büxur-ladan, qvayak-ağacı",https://www.etirsah.com/az/product/91,Stokda Var
dia-man,Dia Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Amouage-dio.jpg,,Kişi,32.00,58.00,92.00,Amouage,"acı-portağal, hil, labdanum, büxur-ladan","ilanq-ilanq, pion, süsən-kökü, gavalı","dəri, paçuli, vetivera, ənbər, palisandr-çəhrayı-ağac",https://www.etirsah.com/az/product/92,Stokda Var
enclave,Enclave,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Enclave-Amouage-for-women.jpg,,Unisex,26.00,46.00,72.00,Amouage,"çəhrayı-istiot, darçın, hil, nanə","paçuli, qızılgül, vetivera, olibanum","dəri, labdanum, amber-xtreme",https://www.etirsah.com/az/product/93,Stokda Var
epic-man,Epic Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Epic-Man-Amouage.jpg,,Kişi,32.00,58.00,92.00,Amouage,"çəhrayı-istiot, hil, hind-qozu, zəfəran, muskat, mərsin","ətirşah, mirra","dəri, müşk, paçuli, səndəl, aqar-ağacı-ud, büxur-ladan, kastoreum, stiraks",https://www.etirsah.com/az/product/94,Stokda Var
epic-man,Epic Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Epic-Man-Amouage.jpg,,Kişi,,,,Amouage,"çəhrayı-istiot, hil, hind-qozu, zəfəran, muskat","ətirşah, mirra","dəri, müşk, paçuli, səndəl, aqar-ağacı-ud, büxur-ladan, kastoreum, stiraks",https://www.etirsah.com/az/product/95,Stokda Yoxdur
epic-man,Epic Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Epic-Man-Amouage.jpg,,Kişi,38.00,70.00,112.00,Amouage,"çəhrayı-istiot, hil, hind-qozu, zəfəran, muskat","ətirşah, mirra","dəri, müşk, paçuli, səndəl, aqar-ağacı-ud, büxur-ladan, kastoreum, stiraks",https://www.etirsah.com/az/product/96,Stokda Var
epic-woman,Epic Woman,https://www.etirsah.com/storage/photos/shares/etirler_en_son/amouage-epic-woman.jpg,,Qadın,32.00,58.00,92.00,Amouage,"darçın, zirə, çəhrayı-oleandr","qara-çay, jasmin, ətirşah, damask-qızılgülü","müşk, paçuli, süsən-kökü, səndəl, vanil, ənbər, aqar-ağacı-ud, qvayak-ağacı, olibanum",https://www.etirsah.com/az/product/97,Stokda Var
epic-woman,Epic Woman,https://www.etirsah.com/storage/photos/shares/etirler_en_son/amouage-epic-woman.jpg,,Qadın,,,,Amouage,"darçın, zirə, çəhrayı-oleandr","qara-çay, jasmin, ətirşah, damask-qızılgülü","müşk, paçuli, süsən-kökü, səndəl, vanil, ənbər, aqar-ağacı-ud, qvayak-ağacı, olibanum",https://www.etirsah.com/az/product/98,Stokda Yoxdur
rose-aqor,Rose Aqor,https://www.etirsah.com/storage/photos/shares/etirler_en_son/attar-rose-aqor.jpg,,Unisex,38.00,70.00,112.00,Amouage,qızılgül,olibanum,"labdanum, səndəl",https://www.etirsah.com/az/product/99,Stokda Var
rose-aqor,Rose Aqor,https://www.etirsah.com/storage/photos/shares/etirler_en_son/attar-rose-aqor.jpg,,Unisex,32.00,58.00,92.00,Amouage,qızılgül,olibanum,"labdanum, səndəl",https://www.etirsah.com/az/product/100,Stokda Var
vanilla-barka,Vanilla Barka,https://www.etirsah.com/storage/photos/shares/etirler_en_son/attar-vanilla-barka.jpg,,Unisex,32.00,58.00,92.00,Amouage,vanil,olibanum,tonka-lobyası,https://www.etirsah.com/az/product/101,Stokda Var
silver-man,Silver Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/silver-man.jpg,,Kişi,26.00,46.00,72.00,Amouage,"berqamot, naringi-mandarin, portağal-çiçəyi, gavalı","ilanq-ilanq, jasmin, orxideya, qızılgül, geliotrop","müşk, paçuli, səndəl, vetivera, ənbər, büxur-ladan",https://www.etirsah.com/az/product/102,Stokda Var
sunshine-man,Sunshine Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/sunshine-man-100ml-eau-de-parfum.jpg,,Kişi,38.00,70.00,112.00,Amouage,"lavanda, portağal, ödotu, brendi","berqamot, müşk-sürvəsi-adaçayı, ardıc-giləmeyvəsi","sidr, tonka-lobyası, vanil",https://www.etirsah.com/az/product/103,Stokda Var
sunshine-woman,Sunshine Woman,https://www.etirsah.com/storage/photos/shares/etirler_en_son/sunshine-woman.jpg,,Qadın,,,,Amouage,"badam, yovşan-artemisia, qara-qarağat","jasmin, maqnoliya, osmantus, vanil","paçuli, papirus, ardıc, ağ-tütün",https://www.etirsah.com/az/product/104,Stokda Yoxdur
sunshine-woman,Sunshine Woman,https://www.etirsah.com/storage/photos/shares/etirler_en_son/sunshine-woman.jpg,,Qadın,32.00,58.00,92.00,Amouage,"badam, yovşan-artemisia, qara-qarağat","jasmin, maqnoliya, osmantus, vanil","paçuli, papirus, ardıc, ağ-tütün",https://www.etirsah.com/az/product/105,Stokda Var
the-library-collection-opus-v,The Library Collection Opus V,https://www.etirsah.com/storage/photos/shares/etirler_en_son/The-Library-Collection-Opus-V.jpg,,Unisex,20.00,34.00,52.00,Amouage,"rom, süsən-kökü","jasmin, qızılgül, süsən","ağac-notları, aqar-ağacı-ud, tsibetin",https://www.etirsah.com/az/product/106,Stokda Var
the-library-collection-opus-v,The Library Collection Opus V,https://www.etirsah.com/storage/photos/shares/etirler_en_son/The-Library-Collection-Opus-V.jpg,,Unisex,26.00,46.00,72.00,Amouage,"rom, süsən-kökü","jasmin, qızılgül, süsən","ağac-notları, aqar-ağacı-ud, tsibetin",https://www.etirsah.com/az/product/107,Stokda Var
the-library-collection-opus-viii,The Library Collection Opus VIII,https://www.etirsah.com/storage/photos/shares/etirler_en_son/The-Library-Collection-Opus-viii.jpg,,Unisex,26.00,46.00,72.00,Amouage,"ilanq-ilanq, jasmin, portağal-çiçəyi","vetivera, zəfəran, zəncəfil, qvayak-ağacı, olibanum","benzoin, qərbi-hindistan-dəfnə-yarpağı",https://www.etirsah.com/az/product/108,Stokda Var
orris-wakan,Orris Wakan,https://www.etirsah.com/storage/photos/shares/etirler_en_son/attar-orris-wakan.jpg,,Unisex,32.00,58.00,92.00,Amouage,süsən-kökü,ağ-müşk,səndəl,https://www.etirsah.com/az/product/109,Stokda Var
saffron-hamra,Saffron Hamra,https://www.etirsah.com/storage/photos/shares/etirler_en_son/attar-saffron-hamra.jpg,,Unisex,26.00,46.00,72.00,Amouage,zəfəran,ardıc,qızılgül,https://www.etirsah.com/az/product/110,Stokda Var
honour-man,Honour Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/honour-man.jpg,,Kişi,26.00,46.00,72.00,Amouage,"çəhrayı-istiot, istiot","hind-qozu, ətirşah, elemi","müşk, paçuli, tonka-lobyası, vetivera, büxur-ladan",https://www.etirsah.com/az/product/111,Stokda Var
honour-woman,Honour Woman,https://www.etirsah.com/storage/photos/shares/etirler_en_son/honour-woman-100ml.jpg,,Qadın,,,,Amouage,"istiot, keşniş, rəvənd","jasmin, qardeniya, tuberoza, qərənfil, inciçiçəyi","dəri, vetivera, ənbər, opoponaks, büxur-ladan",https://www.etirsah.com/az/product/112,Stokda Yoxdur
honour-woman,Honour Woman,https://www.etirsah.com/storage/photos/shares/etirler_en_son/honour-woman-100ml.jpg,,Qadın,32.00,58.00,92.00,Amouage,"istiot, keşniş, rəvənd","jasmin, qardeniya, tuberoza, qərənfil, inciçiçəyi","dəri, vetivera, ənbər, opoponaks, büxur-ladan",https://www.etirsah.com/az/product/113,Stokda Var
interlude-man,Interlude Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/interlude-man-100ml.jpg,,Kişi,,,,Amouage,"berqamot, istiot, oreqano-qaraqınıq","labdanum, ənbər, opoponaks, büxur-ladan","dəri, paçuli, səndəl, aqar-ağacı-ud",https://www.etirsah.com/az/product/114,Stokda Yoxdur
interlude-man,Interlude Man,https://www.etirsah.com/storage/photos/shares/etirler_en_son/interlude-man-100ml.jpg,,Kişi,26.00,46.00,72.00,Amouage,"berqamot, istiot, oreqano-qaraqınıq","labdanum, ənbər, opoponaks, büxur-ladan","dəri, paçuli, səndəl, aqar-ağacı-ud",https://www.etirsah.com/az/product/115,Stokda Var
